C1,,C3,
X,Y,X,Y
0.49261083743841994,4.1137554102716953e-7,0.6017019636958452,0.000003828008627292556
3.694581280788171,4.789633076414911e-7,2.2562061528196296,0.000009464882314520317
5.911330049261082,0.0000015811638093505892,3.4600799763172567,0.000011976007104829117
6.896551724137922,0.00000793441387108944,5.421661270693068,0.0000020160892426684604
8.128078817733986,0.000018514498875703517,7.077810096187751,0.00000328480872879009
9.113300492610833,0.0000406988835020862,6.169500923345861,0.00001575397179683579
10.09852216748768,0.00009137931034482763,7.673403410505955,0.000021388965899639682
12.068965517241374,0.00013258185268466414,8.868584156043113,0.00004698890575293807
13.054187192118228,0.00016109869113690425,10.068463862639984,0.00006010840503164761
14.039408866995068,0.00017800603090840559,10.954687918501232,0.00010629731266416999
15.024630541871922,0.00019807959759283577,11.699473246465221,0.00012814748159182008
16.00985221674876,0.00021182071045140836,12.448252691329959,0.00013938927603106955
16.995073891625616,0.00023400509507779098,13.63380056669472,0.00019057411906227533
18.226600985221673,0.0002656933595019302,14.676500025844302,0.00022116435556098548
18.96551724137931,0.00027098600153372245,15.57094726356004,0.00024551249218797725
19.704433497536947,0.0002783894615074672,16.16372120124242,0.0002711049137035802
20.935960591133004,0.00029424659136696263,17.50997354484925,0.00029545868908384355
21.92118226600985,0.0003027106593706539,19.762655476874077,0.0003123354776258969
24.87684729064039,0.00032282581852684667,18.854816200138156,0.0003235565966364837
23.152709359605907,0.00032912187893991194,20.660626935384595,0.000327323283821947
24.13793103448276,0.000332308902088722,21.55671880947123,0.00034730326624783257
26.108374384236456,0.0003365721304443896,22.157715929008102,0.00035105491675790484
27.586206896551715,0.0003461020055369979,23.501383844032095,0.00038227293445419215
29.064039408867004,0.00035141024474570105,24.25650688632744,0.00037666613411774653
30.049261083743843,0.0003577634948074399,25.606753346835024,0.0003904115350096094
32.01970443349754,0.000351472633453345,27.116999431425715,0.0003791979343367182
33.251231527093594,0.00035149862874819663,28.178964630920103,0.0003586183644796136
31.034482758620697,0.00037044919869503624,26.22889579114059,0.00033800120293403133
33.99014778325123,0.0003652345425477989,28.93878663427517,0.000340531123568579
36.20689655172414,0.00036528133407853183,30.754230239694007,0.000318712907576135
36.94581280788178,0.00037374020302325284,29.704482338954865,0.00030684333193930824
37.93103448275862,0.00038114886205596794,32.56967384511286,0.0002968946915836909
35.22167487684729,0.00038003626343631805,31.66982280217844,0.0002868990616174764
39.162561576354676,0.0003695653586700808,33.1774844581863,0.00028254970326060914
40.14778325123153,0.00036747533696400957,36.0490195617749,0.00025575246812929665
40.88669950738917,0.00036854634311189684,34.39428042459812,0.00025073961647079833
42.36453201970443,0.0003759654002625525,36.80578724044115,0.0002457775135917449
43.10344827586208,0.0003875904961202023,37.71104208859421,0.00024142063689718208
45.07389162561576,0.00038763208859196493,38.920319717310505,0.00022957925502671366
46.05911330049261,0.00037076634129222616,40.270331229765105,0.0002439486779473059
47.044334975369466,0.00037500877341201246,41.173236597388325,0.0002458320215400375
48.27586206896552,0.0003697577238519829,42.676434240389455,0.0002533390817290298
49.014778325123146,0.0003349448249866775,43.57017663394625,0.0002795592844422099
